image_number,number_of_paths
0,184
1,180
10,184
100,108
101,113
102,138
103,191
103,193
104,174
105,186
106,156
107,124
108,174
109,103
11,194
110,182
111,180
112,178
113,85
114,190
115,163
116,167
117,169
118,87
119,193
12,171
120,176
121,95
122,191
123,165
124,166
125,187
126,183
127,172
128,190
129,168
13,185
130,42
131,180
132,186
133,119
134,142
135,82
136,191
137,81
138,174
139,114
14,181
140,180
141,106
142,101
143,191
144,176
145,190
146,126
147,195
148,95
149,193
15,156
150,195
151,195
152,182
153,185
154,190
155,192
156,192
157,186
158,184
159,168
16,190
160,190
161,117
162,184
163,188
164,188
165,75
166,124
167,164
168,193
169,187
17,178
170,149
171,112
172,189
173,169
174,106
175,184
176,146
177,197
